rank,song,pattern
4,"톰보이",S19
5,"플레이버 스텝!",S18
6,"판도라",S17
7,"톰보이",D18
8,"애프터 라이크",S09
9,"톰보이",D20
10,"애프터 라이크",S06
11,"블루이쉬 로즈",S16
12,"판도라",S11
13,"판도라",D18
14,"플레이버 스텝!",S14
15,"유포리아닉",S16
16,"판도라",S07
17,"플레이버 스텝!",D19
18,"누드",S06
19,"블루이쉬 로즈",S20
20,"진폐증 ft. Kagamine Len/GUMI",S16
21,"플레이버 스텝!",S21
22,"트릭크래쉬 220",S18
23,"톰보이",S05
24,"애프터 라이크",S13
25,"일레븐",S06
26,"일레븐",S12
27,"플레이버 스텝!",D15
28,"트릭크래쉬 220",S21
29,"유포리아닉",S08
30,"테디베어",S09
31,"블루이쉬 로즈",D18
32,"톰보이",D12
33,"애프터 라이크",S15
34,"누드",S11
35,"요! 세이!! 페어리!!!",S16
36,"플레이버 스텝!",S11
37,"트릭크래쉬 220",S15
38,"유포리아닉",S11
39,"플레이버 스텝!",D22
40,"트릭크래쉬 220",D20
41,"애프터 라이크",S04
42,"진폐증 ft. Kagamine Len/GUMI",S19
43,"큐리아서티 오버드라이브",S18
44,"애프터 라이크",S18
45,"이렐리아",S18
46,"트릭크래쉬 220",D25
47,"블루이쉬 로즈",D21
48,"베토벤 바이러스",S07
49,"추격",S16
50,"이렐리아",S22
51,"트릭크래쉬 220",D23
52,"트릭크래쉬 220",S23
53,"테디베어",S06
54,"네오 카타르시스",S20
55,"블루이쉬 로즈",S12
56,"배드 애플!! feat. Nomico",S09
57,"판도라",D13
58,"일레븐",S15
59,"네오 카타르시스",S22
60,"트릭크래쉬 220",D16
61,"굿 나이트",S09
62,"보카",S09
63,"큐리아서티 오버드라이브",S15
64,"여래아",S01
65,"추격",S22
66,"스위트로닉",S15
67,"테디베어",S14
68,"큐리아서티 오버드라이브",S20
69,"8 6",S16
70,"벡터",S18
71,"네오 카타르시스",S17
72,"블루이쉬 로즈",D14
73,"밀크",S07
74,"요! 세이!! 페어리!!!",S20
75,"베르사이유",S16
76,"일레븐",S17
77,"웨딩 크래셔",S10
78,"8 6",S20
